Market,minSz,Reward/day,Competition,Comp_YES,Comp_NO,Comp_YES_2,Comp_NO_2,Comp_YES_1,Comp_NO_1,yes_token_id,no_token_id
Will the highest temperature in Moscow be 27°C on August 1?,20,47.00,3145,860,712,750,692,20,20,,
Will the lowest temperature in Paris be 18°C on July 31?,20,53.00,3850,355,1400,105,691,18,247,,
Will the highest temperature in San Francisco be between 72-73°F on July 31?,20,37.00,3003,775,712,509,655,109,160,,
Will the highest temperature in Istanbul be 26°C on July 31?,20,55.00,4503,505,1345,75,1125,5,547,,
Will the highest temperature in Istanbul be 27°C on August 1?,20,56.00,4623,1169,1133,833,833,755,723,,
Will the lowest temperature in London be 17°C on July 31?,20,50.00,4201,565,1018,310,518,119,139,,
Will the highest temperature in Los Angeles be between 78-79°F on July 31?,20,47.00,4322,627,1391,354,858,137,731,,
Will the highest temperature in Lucknow be 33°C on July 31?,20,51.00,4892,1308,893,658,594,170,276,,
Will the highest temperature in Beijing be 34°C on August 1?,20,43.00,4125,1053,982,753,474,125,5,,
Will the highest temperature in Hong Kong be 28°C on July 31?,20,42.00,4058,294,973,102,530,12,70,,
Will the lowest temperature in Tokyo be 28°C on August 1?,20,44.00,4257,1155,583,461,153,65,65,,
Will the lowest temperature in Seoul be 25°C on July 31?,20,40.00,3890,1298,479,523,215,101,101,,
Will the highest temperature in Seoul (Incheon) be 32°C on August 1?,20,39.00,3818,1162,747,519,321,90,5,,
Will the highest temperature in Madrid be 38°C on August 1?,20,50.00,4943,1118,654,692,194,222,119,,
Will the highest temperature in Madrid be 37°C on July 31?,20,52.00,5201,877,837,182,198,17,18,,
Will the highest temperature in Ankara be 28°C on July 31?,20,40.00,4084,911,1101,609,615,295,309,,
Will the highest temperature in Ankara be 28°C on August 1?,20,58.00,6080,2280,760,1738,564,120,296,72420894151399938271567147696156751499094067993301854238803917053340125086348,
Will the highest temperature in Austin be between 100-101°F on July 31?,20,52.00,5551,2257,251,1584,208,618,58,60495247248576660495836820763220359457758791923320671774156366816622547483604,
Will the highest temperature in Munich be 31°C on August 1?,20,39.00,4233,1974,147,1974,137,92,78,,
Will the highest temperature in Hong Kong be 27°C on August 1?,20,31.00,3364,982,685,822,611,405,70,,
Will the highest temperature in London be 25°C on August 1?,20,30.00,3291,776,706,554,436,140,90,,
Will the highest temperature in Karachi be 35°C on July 31?,20,47.00,5295,1155,1402,668,933,384,142,,
Will the highest temperature in Milan be 36°C on August 1?,20,48.00,5503,1116,1000,224,668,9,115,,
Will the highest temperature in Miami be between 96-97°F on July 31?,20,30.00,3472,939,512,593,182,174,31,,
Will the highest temperature in Wellington be 10°C on August 1?,20,53.00,6159,2291,788,2076,130,212,5,49078104789184342436497209835240528373645195545519923078520639511008624828591,
Will the highest temperature in London be 25°C on July 31?,20,48.00,5663,1104,997,822,947,171,514,,
Will the highest temperature in Milan be 37°C on July 31?,20,41.00,4836,1357,931,407,594,10,361,,
Will the highest temperature in Paris be 30°C on July 31?,20,57.00,6847,1148,1324,694,655,305,287,,
Will the highest temperature in Mexico City be 27°C on July 31?,20,28.00,3415,959,749,456,476,60,44,,
Will the highest temperature in London be 26°C on July 31?,20,33.00,4045,1183,360,607,207,227,14,,
Will the highest temperature in Madrid be 37°C on August 1?,20,32.00,3942,1653,268,1653,186,91,10,,
Will the highest temperature in Guangzhou be 31°C on August 1?,20,31.00,3832,907,409,215,242,70,18,,
Will the highest temperature in Istanbul be 27°C on July 31?,20,33.00,4086,1125,869,825,646,407,251,,
Will the highest temperature in Beijing be 32°C on July 31?,20,25.00,3116,1104,437,969,337,193,20,,
Will the lowest temperature in Tokyo be 27°C on July 31?,20,34.00,4259,1653,442,1282,104,793,2,,
Will the highest temperature in Seoul be 32°C on July 31?,20,40.00,5021,882,929,387,255,141,5,,
Will the lowest temperature in Hong Kong be 24°C on August 1?,20,34.00,4274,1244,425,685,265,39,20,,
Will the highest temperature in Karachi be 33°C on August 1?,20,41.00,5180,1903,687,749,647,10,95,,
Will the highest temperature in Jeddah be 40°C on July 31?,20,29.00,3668,979,679,380,219,2,59,,
Will the highest temperature in Miami be between 94-95°F on July 31?,20,54.00,6852,1818,1098,1678,1008,138,382,,
Will the highest temperature in Wellington be 13°C on July 31?,20,37.00,4732,1039,644,399,278,208,235,,
Will the highest temperature in Kuala Lumpur be 33°C on August 1?,20,40.00,5224,1987,625,1772,569,92,100,,
Will the lowest temperature in Hong Kong be 25°C on August 1?,20,37.00,4888,1074,910,585,510,20,20,,
Will the highest temperature in Paris be 29°C on August 1?,20,41.00,5473,1657,1040,1365,878,135,115,,
